"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"377","org.apache.poi.poifs.storage.ListManagedBlock",377,1,1,0,13,1,0,1,1,0
"361","org.apache.poi.ddf.EscherRecordFactory",361,1,1,0,21,1,0,1,1,1
"346","org.apache.poi.hpsf.PropertySet",346,26,1,1,16,72,273,20,553,0
"355","org.apache.poi.hssf.record.WSBoolRecord",355,30,2,0,9,43,141,27,372,1
"351","org.apache.poi.hssf.record.ProtectionRev4Record",351,10,2,0,6,19,33,8,101,1
"344","org.apache.poi.hssf.usermodel.HSSFSimpleShape",344,3,2,2,12,4,0,2,24,0
"385","org.apache.poi.hssf.record.VCenterRecord",385,11,2,0,7,20,35,9,113,1
"384","org.apache.poi.util.DoubleList",384,25,1,0,1,29,0,24,635,0
"359","org.apache.poi.hssf.eventmodel.ListenerWrapper",359,2,1,0,3,5,0,1,49,0
"353","org.apache.poi.hssf.record.StyleRecord",353,23,2,0,9,39,181,20,388,2
"388","org.apache.poi.hssf.usermodel.HSSFHeader",388,20,1,0,2,34,158,18,262,1
"380","org.apache.poi.hssf.record.AxisUsedRecord",380,11,2,0,6,22,35,9,122,1
"345","org.apache.poi.hssf.usermodel.HSSFShape",345,17,1,3,18,19,84,16,152,1
"369","org.apache.poi.hssf.record.FontIndexRecord",369,11,2,0,6,22,35,9,122,1
"356","org.apache.poi.hssf.record.NoteRecord",356,18,2,0,9,36,51,16,300,5
"362","org.apache.poi.poifs.filesystem.POIFSFileSystem",362,17,1,0,36,95,106,13,461,3
"364","org.apache.poi.dev.RecordGenerator",364,4,1,0,0,40,6,2,323,0
"390","org.apache.poi.hssf.record.SeriesIndexRecord",390,11,2,0,6,22,35,9,122,1
"357","org.apache.poi.hssf.record.LegendRecord",357,35,2,0,8,56,189,33,635,1
"386","org.apache.poi.hssf.util.RKUtil",386,2,1,0,2,4,1,1,39,1
"368","org.apache.poi.poifs.filesystem.DocumentDescriptor",368,4,1,0,2,18,0,4,129,0
"370","org.apache.poi.hssf.record.formula.LessEqualPtg",370,9,2,0,5,13,36,9,62,1
"383","org.apache.poi.ddf.EscherBoolProperty",383,3,3,0,6,4,1,3,22,1
"367","org.apache.poi.hssf.record.CategorySeriesAxisRecord",367,23,2,0,8,39,75,21,374,1
"392","org.apache.poi.hssf.model.PictureShape",392,5,2,0,15,41,6,2,177,1
"366","org.apache.poi.poifs.filesystem.POIFSWriterListener",366,1,1,0,7,1,0,1,1,0
"358","org.apache.poi.hssf.record.DefaultDataLabelTextPropertiesRecord",358,11,2,0,6,22,35,9,125,1
"347","org.apache.poi.hssf.record.PaneRecord",347,19,2,0,7,30,95,17,322,1
"373","org.apache.poi.util.CommonsLogger",373,5,2,0,3,20,0,4,138,0
"391","org.apache.poi.hssf.record.TextRecord",391,61,2,0,8,84,610,59,1176,1
"381","org.apache.poi.hpsf.SummaryInformation",381,55,3,0,7,72,1485,55,485,1
"363","org.apache.poi.poifs.filesystem.DirectoryNode",363,20,2,0,14,65,94,15,327,0
"365","org.apache.poi.hpsf.ClassID",365,10,1,0,11,23,0,10,359,0
"382","org.apache.poi.hssf.record.PasswordRev4Record",382,10,2,0,6,19,39,8,91,1
"387","org.apache.poi.ddf.EscherContainerRecord",387,11,2,0,15,46,25,11,366,3
"379","org.apache.poi.ddf.EscherSerializationListener",379,2,1,0,22,2,1,2,2,1
"389","org.apache.poi.hssf.record.formula.Ref3DPtg",389,22,2,1,12,52,89,22,417,0
"378","org.apache.poi.hssf.record.UnknownRecord",378,11,2,0,10,24,0,8,174,9
"394","org.apache.poi.hssf.record.UseSelFSRecord",394,10,2,0,6,19,39,8,93,1
"360","org.apache.poi.hssf.record.SeriesListRecord",360,11,2,0,5,22,25,9,124,1
"352","org.apache.poi.hssf.record.TickRecord",352,37,2,0,8,60,350,35,739,1
"371","org.apache.poi.hssf.record.formula.PercentPtg",371,10,2,0,4,14,45,10,57,0
"349","org.apache.poi.hssf.usermodel.HSSFTextbox",349,11,3,1,11,14,41,11,66,1
