"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"341","org.apache.poi.hssf.record.ExtendedFormatRecord",341,95,2,0,11,115,3119,92,1371,1
"208","org.apache.poi.hssf.usermodel.HSSFWorkbook",208,65,1,0,44,248,100,52,2273,14
"203","org.apache.poi.hssf.usermodel.DummyGraphics2d",203,85,3,0,0,182,0,85,2891,0
"29","org.apache.poi.hssf.dev.BiffViewer",29,8,1,0,133,166,24,5,1000,2
"413","org.apache.poi.hssf.model.FormulaParser",413,56,1,0,35,146,728,7,2031,3
"33","org.apache.poi.hssf.usermodel.HSSFCell",33,36,1,0,28,144,104,27,1294,14
"395","org.apache.poi.hssf.model.Workbook",395,88,1,0,115,308,2862,50,3649,9
"216","org.apache.poi.hssf.usermodel.EscherGraphics2d",216,81,3,0,3,159,3130,73,905,1
"339","org.apache.poi.hssf.record.GroupMarkerSubRecord",339,9,3,0,6,23,0,7,150,1
"375","org.apache.poi.hssf.usermodel.EscherGraphics",375,49,2,0,15,103,740,42,1010,1
"398","org.apache.poi.hssf.usermodel.HSSFSheet",398,102,1,0,38,302,0,88,1843,19
"350","org.apache.poi.hssf.model.Sheet",350,134,1,0,65,390,7059,101,3878,16
