"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"251","bsh.BSHMethodInvocation",251,2,2,0,12,17,1,1,63,0
"229","org.gjt.sp.jedit.io.VFSManager",229,23,1,0,39,64,159,16,300,2
"257","gnu.regexp.IntPair",257,1,1,0,1,2,0,0,6,0
"218","org.gjt.sp.jedit.msg.SearchSettingsChanged",218,1,3,0,4,2,0,1,5,0
"247","gnu.regexp.CharIndexedCharArray",247,4,1,0,2,5,0,3,59,0
"209","org.gjt.sp.jedit.syntax.Token",209,2,1,0,4,7,0,2,48,1
"212","org.gjt.sp.jedit.syntax.SyntaxStyle",212,4,1,0,10,5,0,4,28,0
"261","org.gjt.sp.jedit.msg.EditorStarted",261,1,3,0,3,2,0,1,5,0
"202","bsh.BSHPrimarySuffix",202,5,2,0,16,35,10,1,256,0
"233","org.gjt.sp.jedit.options.Abbrev",233,2,1,0,2,3,1,0,16,0
"197","bsh.BSHMethodDeclaration",197,3,2,0,11,14,1,2,134,0
"237","org.gjt.sp.jedit.pluginmgr.InstallPluginsDialog",237,12,7,0,9,72,40,2,687,4
"189","org.gjt.sp.jedit.syntax.ParserRule",189,1,1,0,6,2,0,0,21,0
"196","org.gjt.sp.jedit.gui.CompleteWord",196,6,5,0,5,34,0,2,129,1
"193","org.gjt.sp.jedit.gui.EnhancedMenu",193,1,7,6,8,21,0,1,93,0
"272","org.gjt.sp.jedit.search.HyperSearchResults",272,13,5,0,17,53,54,9,303,2
"211","bsh.BSHIfStatement",211,3,2,0,11,10,3,2,79,0
"232","bsh.StringUtil",232,5,1,0,1,24,10,5,206,0
"223","org.gjt.sp.jedit.search.CharIndexedSegment",223,4,1,0,2,5,0,3,63,0
"215","org.gjt.sp.jedit.msg.EditorExiting",215,1,3,0,3,2,0,1,5,0
"269","org.gjt.sp.jedit.pluginmgr.Roster",269,5,1,0,9,14,0,0,82,0
"241","org.gjt.sp.jedit.gui.TipOfTheDay",241,6,7,0,6,18,13,3,55,2
"201","org.gjt.sp.util.WorkThread",201,14,2,0,8,34,37,11,324,1
"231","bsh.JJTParserState",231,12,1,0,3,25,0,0,218,0
"207","org.gjt.sp.jedit.gui.FontSelector",207,3,6,0,5,18,3,1,71,0
"206","org.gjt.sp.jedit.search.BufferListSet",206,9,1,2,9,24,6,8,174,0
"190","org.gjt.sp.jedit.gui.SplashScreen",190,3,5,0,4,37,1,2,138,0
"250","bsh.BSHAllocationExpression",250,8,2,0,18,37,28,1,271,0
"192","org.gjt.sp.jedit.gui.ViewRegisters",192,6,7,0,8,47,9,3,311,0
"186","bsh.InterpreterError",186,1,4,0,16,2,0,1,5,0
"230","org.gjt.sp.jedit.OptionGroup",230,9,1,0,5,20,0,9,111,0
"227","bsh.BSHFormalParameter",227,3,2,0,9,7,1,1,30,0
"264","org.gjt.sp.jedit.search.RESearchMatcher",264,4,1,0,11,25,0,3,145,4
"187","org.gjt.sp.jedit.gui.HistoryModel",187,10,1,0,10,47,17,8,299,0
"265","org.gjt.sp.jedit.search.HyperSearchRequest",265,6,2,0,14,40,3,2,252,3
"255","bsh.BshMethod",255,4,1,0,13,20,0,4,301,0
"239","com.microstar.xml.HandlerBase",239,14,1,6,8,16,91,14,38,0
"199","bsh.BSHSwitchLabel",199,2,2,0,7,5,1,2,22,0
"271","bsh.CallStack",271,11,1,0,39,25,0,11,135,0
"249","gnu.regexp.CharIndexedInputStream",249,5,1,0,3,12,0,3,251,0
"195","org.gjt.sp.jedit.Autosave",195,4,1,0,2,11,4,3,58,0
"248","bsh.TargetError",248,11,4,0,18,26,13,11,171,0
"245","gnu.regexp.RETokenBackRef",245,3,2,0,4,8,0,0,77,0
"217","gnu.regexp.REFilterInputStream",217,5,3,0,4,18,8,5,173,0
"216","gnu.regexp.RETokenPOSIX",216,6,2,0,4,22,3,0,288,0
"246","org.gjt.sp.jedit.pluginmgr.PluginList",246,5,1,0,11,26,0,0,155,2
"268","bsh.NameSource",268,2,1,0,2,2,1,2,2,0
"204","bsh.BSHPrimitiveType",204,2,2,0,4,3,1,1,10,0
"242","org.gjt.sp.jedit.gui.PluginsMenu",242,1,8,0,9,22,0,1,111,0
"266","bsh.BlockNameSpace",266,3,2,0,4,10,3,2,40,0
"234","org.gjt.sp.jedit.OptionPane",234,4,1,0,5,4,6,4,4,0
"256","org.gjt.sp.jedit.gui.LogViewer",256,3,5,0,5,14,3,3,55,0
"236","org.gjt.sp.util.WorkRequest",236,6,1,3,4,12,15,6,49,0
"238","bsh.BSHCastExpression",238,6,2,0,16,45,15,6,280,0
"259","org.gjt.sp.jedit.gui.EnhancedCheckBoxMenuItem",259,7,7,0,5,38,9,4,210,2
"244","bsh.BSHReturnStatement",244,2,2,0,9,7,1,1,28,0
"240","org.gjt.sp.jedit.msg.ViewUpdate",240,5,3,0,6,13,4,4,47,0
