"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"115","org.gjt.sp.jedit.gui.MarkersMenu",115,2,8,0,9,25,1,2,127,2
"124","bsh.BSHForStatement",124,2,2,0,12,10,1,1,137,0
"122","org.gjt.sp.jedit.options.LoadSaveOptionPane",122,5,6,0,4,35,0,3,386,1
"114","org.gjt.sp.jedit.ActionListHandler",114,11,2,0,5,31,31,7,231,2
"110","org.gjt.sp.jedit.gui.AbbrevEditor",110,5,5,0,4,26,0,5,339,0
"109","org.gjt.sp.jedit.textarea.ScrollListener",109,2,1,0,3,2,1,2,2,0
"105","org.gjt.sp.jedit.msg.EditorExitRequested",105,2,3,0,5,4,1,2,10,0
"113","bsh.ReflectError",113,2,3,0,7,4,1,2,9,0
"116","org.gjt.sp.jedit.browser.VFSFileChooserDialog",116,10,7,0,15,74,17,5,477,4
"117","org.gjt.sp.jedit.search.HyperSearchResult",117,6,1,0,8,23,3,5,128,1
"112","org.gjt.sp.jedit.options.ToolBarOptionPane",112,13,6,0,14,75,44,1,517,1
"119","bsh.BSHImportDeclaration",119,2,2,0,10,9,1,1,36,0
"120","bsh.BSHAssignment",120,3,2,0,11,18,3,1,273,0
"106","org.gjt.sp.jedit.browser.BrowserIORequest",106,7,2,0,7,27,0,3,500,5
"111","org.gjt.sp.jedit.gui.EnhancedButton",111,3,6,0,3,13,3,3,45,0
