"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"209","org.gjt.sp.jedit.syntax.Token",209,2,1,0,4,7,0,2,48,1
"208","org.gjt.sp.jedit.textarea.Selection",208,10,1,2,15,17,23,7,80,1
"207","org.gjt.sp.jedit.gui.FontSelector",207,3,6,0,5,18,3,1,71,0
"206","org.gjt.sp.jedit.search.BufferListSet",206,9,1,2,9,24,6,8,174,0
"216","gnu.regexp.RETokenPOSIX",216,6,2,0,4,22,3,0,288,0
"211","bsh.BSHIfStatement",211,3,2,0,11,10,3,2,79,0
"212","org.gjt.sp.jedit.syntax.SyntaxStyle",212,4,1,0,10,5,0,4,28,0
"219","gnu.regexp.RETokenAny",219,4,2,0,4,8,4,0,55,0
"217","gnu.regexp.REFilterInputStream",217,5,3,0,4,18,8,5,173,0
"218","org.gjt.sp.jedit.msg.SearchSettingsChanged",218,1,3,0,4,2,0,1,5,0
"213","org.gjt.sp.jedit.Marker",213,6,1,0,8,10,0,3,57,2
