"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"6","bsh.BSHArrayDimensions",6,4,2,0,10,21,2,3,174,0
"47","bsh.BSHWhileStatement",47,2,2,0,10,7,1,1,79,0
"12","bsh.BSHLHSPrimarySuffix",12,5,2,0,14,27,10,1,182,0
"14","org.gjt.sp.jedit.options.DockingOptionPane",14,5,6,0,6,51,6,3,260,1
"11","org.gjt.sp.jedit.EditPlugin",11,10,1,2,11,13,39,8,33,1
"5","gnu.regexp.RETokenOneOf",5,5,2,0,5,22,0,0,206,0
"28","org.gjt.sp.jedit.gui.CloseDialog",28,14,7,0,7,54,65,4,313,3
"46","bsh.BSHTryStatement",46,2,2,0,12,22,1,1,185,0
"7","org.gjt.sp.jedit.options.StyleTableModel",7,8,2,0,6,19,0,6,157,0
"1","org.gjt.sp.jedit.Registers",1,14,1,0,9,45,61,11,425,0
"55","gnu.regexp.CharUnit",55,1,1,0,1,2,0,0,6,0
"35","org.gjt.sp.jedit.gui.SelectLineRange",35,5,7,0,8,52,2,4,364,0
"15","org.gjt.sp.jedit.options.WindowTableModel",15,11,2,0,7,30,25,9,198,0
"51","org.gjt.sp.jedit.gui.EnhancedMenuItem",51,5,6,0,5,33,2,3,191,2
"52","org.gjt.sp.jedit.browser.BrowserListener",52,2,1,0,4,2,1,2,2,0
"44","bsh.BSHBinaryExpression",44,4,2,0,12,21,6,1,279,0
"30","gnu.regexp.RETokenLookAhead",30,2,2,0,6,8,0,0,69,0
"49","org.gjt.sp.jedit.options.BrowserOptionPane",49,3,6,0,3,17,1,3,263,2
"23","org.gjt.sp.jedit.gui.KeyEventWorkaround",23,4,1,0,5,16,2,2,179,5
"26","org.gjt.sp.jedit.EBMessage",26,6,1,3,29,14,7,6,49,0
"27","org.gjt.sp.jedit.options.AbbrevsOptionPane",27,7,6,0,9,58,5,1,300,1
"38","org.gjt.sp.jedit.options.GeneralOptionPane",38,3,6,0,4,34,1,1,370,0
"32","org.gjt.sp.jedit.search.AllBufferSet",32,5,2,0,7,22,4,3,93,0
"39","org.gjt.sp.jedit.gui.CurrentDirectoryMenu",39,2,8,0,10,30,1,2,175,3
"48","org.gjt.sp.jedit.proto.jeditresource.Handler",48,2,2,0,1,5,1,2,14,0
"31","gnu.regexp.RESyntax",31,9,1,0,4,18,0,8,361,0
"22","org.gjt.sp.jedit.EBComponent",22,1,1,0,31,1,0,1,1,0
"9","org.gjt.sp.jedit.gui.DockableWindowContainer",9,5,1,0,5,5,10,5,5,0
"45","bsh.This",45,11,1,2,14,30,15,7,182,0
"41","bsh.Node",41,7,1,0,36,7,21,7,7,0
"18","org.gjt.sp.jedit.msg.CreateDockableWindow",18,7,2,0,6,15,9,7,64,0
"2","gnu.regexp.RETokenRepeated",2,7,2,0,4,21,0,0,300,0
"19","org.gjt.sp.jedit.options.EditingOptionPane",19,3,6,0,4,23,1,1,330,3
"36","bsh.BSHSwitchStatement",36,2,2,0,10,9,1,2,106,0
"33","bsh.ReturnControl",33,1,1,0,10,2,0,1,12,0
"50","org.gjt.sp.jedit.textarea.TextRenderer",50,13,1,2,6,32,76,8,439,0
"3","gnu.regexp.REMatchEnumeration",3,6,1,0,3,11,9,5,113,0
"34","org.gjt.sp.jedit.gui.EditAbbrevDialog",34,5,6,0,6,39,0,2,210,0
