"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"56","org.gjt.sp.util.WorkThreadPool",56,22,1,0,12,51,129,9,593,1
"203","org.gjt.sp.jedit.Abbrevs",203,18,1,0,12,96,47,9,730,0
"16","bsh.Interpreter",16,51,1,0,58,132,925,42,1458,0
"104","bsh.JThis",104,87,2,0,8,100,3741,84,711,0
"184","org.gjt.sp.jedit.gui.BufferOptions",184,15,7,0,12,91,47,3,1186,6
"220","bsh.NameSpace",220,51,1,1,44,135,1139,35,1644,0
"25","org.gjt.sp.jedit.EditPane",25,19,5,0,31,132,57,12,828,5
"132","bsh.Parser",132,399,1,0,47,487,0,82,23350,0
"154","org.gjt.sp.jedit.gui.DefaultInputHandler",154,12,3,0,6,52,8,10,501,5
"73","bsh.ParserTokenManager",73,50,1,0,5,66,3,6,6259,0
"173","org.gjt.sp.jedit.gui.OptionsDialog",173,14,7,0,24,106,69,8,708,2
"214","gnu.regexp.RE",214,45,2,0,34,107,928,26,2533,0
"58","org.gjt.sp.jedit.gui.FontSelectorDialog",58,17,7,0,5,80,98,4,662,0
"183","org.gjt.sp.jedit.Buffer",183,126,3,0,102,316,6941,90,5047,25
"43","org.gjt.sp.jedit.textarea.Gutter",43,30,4,0,10,73,337,25,628,8
"29","org.gjt.sp.jedit.search.SearchDialog",29,30,7,0,22,137,315,4,1603,7
"177","org.gjt.sp.jedit.MiscUtilities",177,28,1,0,45,60,378,24,950,4
"260","org.gjt.sp.jedit.jEdit",260,99,1,0,162,325,4043,67,4367,23
"85","org.gjt.sp.jedit.View",85,55,6,0,109,200,1197,40,1437,5
"21","org.gjt.sp.jedit.GUIUtilities",21,39,1,0,70,144,725,34,1492,8
"205","org.gjt.sp.jedit.io.BufferIORequest",205,11,2,0,10,96,21,3,1272,9
"57","bsh.Capabilities",57,7,1,0,5,12,13,6,64,0
"20","org.gjt.sp.jedit.textarea.JEditTextArea",20,211,4,0,59,430,11469,169,7612,45
"258","org.gjt.sp.jedit.io.FileVFS",258,21,2,0,12,94,198,19,981,6
"61","org.gjt.sp.jedit.browser.BrowserView",61,19,5,0,13,77,71,8,498,17
