"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"20","org.gjt.sp.jedit.textarea.JEditTextArea",20,211,4,0,59,430,11469,169,7612,45
"23","org.gjt.sp.jedit.gui.KeyEventWorkaround",23,4,1,0,5,16,2,2,179,5
"252","org.gjt.sp.jedit.msg.VFSUpdate",252,3,2,0,6,9,0,3,34,0
"68","org.gjt.sp.jedit.Macros",68,24,1,0,29,89,228,16,534,6
"21","org.gjt.sp.jedit.GUIUtilities",21,39,1,0,70,144,725,34,1492,8
"98","gnu.regexp.REMatch",98,15,1,0,19,28,0,11,391,0
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","org.gjt.sp.jedit.Mode",142,12,1,0,19,32,36,12,236,1
"224","org.gjt.sp.jedit.pluginmgr.PluginManagerProgress",224,17,6,0,14,59,94,8,334,1
"93","gnu.regexp.REException",93,4,3,0,4,13,0,3,71,0
"19","org.gjt.sp.jedit.options.EditingOptionPane",19,3,6,0,4,23,1,1,330,3
"266","bsh.BlockNameSpace",266,3,2,0,4,10,3,2,40,0
"NA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","bsh.BSHImportDeclaration",119,2,2,0,10,9,1,1,36,0
"NA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","org.gjt.sp.jedit.options.ModeOptionPane",172,12,6,0,6,38,28,1,645,3
"192","org.gjt.sp.jedit.gui.ViewRegisters",192,6,7,0,8,47,9,3,311,0
"29","org.gjt.sp.jedit.search.SearchDialog",29,30,7,0,22,137,315,4,1603,7
"158","bsh.BSHFormalParameters",158,2,2,0,9,6,1,1,54,0
"148","gnu.regexp.CharIndexedReader",148,5,1,0,3,12,0,3,269,0
"271","bsh.CallStack",271,11,1,0,39,25,0,11,135,0
"NA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","org.gjt.sp.jedit.gui.CloseDialog",28,14,7,0,7,54,65,4,313,3
"NA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","org.gjt.sp.jedit.io.FileVFS",258,21,2,0,12,94,198,19,981,6
"NA5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","org.gjt.sp.jedit.options.ToolBarAddDialog",137,13,7,0,10,72,44,4,631,0
"NA7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
