"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"141","bsh.XThis",141,5,2,0,4,18,8,2,106,0
"2","gnu.regexp.RETokenRepeated",2,7,2,0,4,21,0,0,300,0
"251","bsh.BSHMethodInvocation",251,2,2,0,12,17,1,1,63,0
"264","org.gjt.sp.jedit.search.RESearchMatcher",264,4,1,0,11,25,0,3,145,4
"127","org.gjt.sp.jedit.syntax.ParserRuleSet",127,17,1,0,8,22,100,17,199,1
"88","gnu.regexp.RETokenEndSub",88,3,2,0,4,5,3,0,20,0
"161","bsh.BSHPrimaryExpression",161,2,2,0,8,8,1,1,50,0
"63","com.microstar.xml.XmlException",63,5,3,0,5,6,2,5,36,0
"194","org.gjt.sp.jedit.gui.DockableWindow",194,2,1,0,12,2,1,2,3,0
"167","org.gjt.sp.jedit.msg.EditPaneUpdate",167,5,3,0,5,13,4,4,50,0
"11","org.gjt.sp.jedit.Registers",1,14,1,0,9,45,61,11,425,0
"145","org.gjt.sp.jedit.options.AbbrevsModel",145,10,2,0,8,29,3,8,189,0
"257","gnu.regexp.IntPair",257,1,1,0,1,2,0,0,6,0
"41","bsh.Node",41,7,1,0,36,7,21,7,7,0
"215","org.gjt.sp.jedit.msg.EditorExiting",215,1,3,0,3,2,0,1,5,0
"246","org.gjt.sp.jedit.pluginmgr.PluginList",246,5,1,0,11,26,0,0,155,2
"248","bsh.TargetError",248,11,4,0,18,26,13,11,171,0
"206","org.gjt.sp.jedit.search.BufferListSet",206,9,1,2,9,24,6,8,174,0
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","bsh.BSHAllocationExpression",250,8,2,0,18,37,28,1,271,0
"153","org.gjt.sp.jedit.JARClassLoader",153,14,2,0,11,88,35,8,889,4
"NA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","org.gjt.sp.jedit.pluginmgr.PluginListHandler",80,12,2,0,7,38,38,8,470,1
"234","org.gjt.sp.jedit.OptionPane",234,4,1,0,5,4,6,4,4,0
"12","bsh.BSHLHSPrimarySuffix",12,5,2,0,14,27,10,1,182,0
"200","org.gjt.sp.jedit.io.UrlVFS",200,6,2,0,4,19,15,6,93,1
"13","org.gjt.sp.jedit.browser.VFSBrowser",13,54,5,0,41,175,1183,25,1425,18
"152","org.gjt.sp.jedit.browser.BrowserPopupMenu",152,5,5,0,14,45,6,1,458,0
"NA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","gnu.regexp.RESyntax",31,9,1,0,4,18,0,8,361,0
"183","org.gjt.sp.jedit.Buffer",183,126,3,0,102,316,6941,90,5047,25
"233","org.gjt.sp.jedit.options.Abbrev",233,2,1,0,2,3,1,0,16,0
"60","org.gjt.sp.jedit.gui.EnhancedDialog",60,3,6,16,19,13,3,3,59,0
"178","gnu.regexp.RETokenStart",178,3,2,0,4,9,1,0,106,0
"NA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","org.gjt.sp.jedit.gui.CompleteWord",196,6,5,0,5,34,0,2,129,1
"108","bsh.BSHArguments",108,2,2,0,10,6,1,1,30,0
"65","org.gjt.sp.jedit.AbstractOptionPane",65,10,5,15,17,27,29,5,258,1
"225","gnu.regexp.RETokenWordBoundary",225,3,2,0,4,8,0,0,151,0
"164","org.gjt.sp.jedit.textarea.MarkerHighlight",164,8,1,0,8,28,6,8,160,0
"120","bsh.BSHAssignment",120,3,2,0,11,18,3,1,273,0
"249","gnu.regexp.CharIndexedInputStream",249,5,1,0,3,12,0,3,251,0
"NA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","bsh.BSHBlock",157,3,2,0,14,10,3,2,63,0
"82","org.gjt.sp.jedit.BeanShellAction",82,7,2,0,5,16,3,7,115,1
"219","gnu.regexp.RETokenAny",219,4,2,0,4,8,4,0,55,0
"NA6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","org.gjt.sp.jedit.syntax.TokenMarker",69,10,1,0,10,46,9,7,1441,1
"NA7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","org.gjt.sp.jedit.gui.PluginsMenu",242,1,8,0,9,22,0,1,111,0
"146","org.gjt.sp.jedit.TextUtilities",146,9,1,0,8,39,36,9,904,5
"247","gnu.regexp.CharIndexedCharArray",247,4,1,0,2,5,0,3,59,0
"237","org.gjt.sp.jedit.pluginmgr.InstallPluginsDialog",237,12,7,0,9,72,40,2,687,4
"180","org.gjt.sp.jedit.search.BoyerMooreSearchMatcher",180,7,1,0,5,16,0,4,416,3
