"","name","id","wmc","dit","noc","cbo","rfc","lcom","npm","loc","bug"
"27","org.apache.tools.ant.types.selectors.BaseExtendSelector",27,4,4,8,12,5,0,3,18,0
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","org.apache.tools.ant.taskdefs.optional.extension.JarLibDisplayTask",70,5,3,0,6,26,0,4,141,0
"NA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","org.apache.tools.ant.taskdefs.optional.depend.constantpool.Utf8CPInfo",213,4,2,0,5,9,0,4,27,0
"631","org.apache.tools.bzip2.CRC",631,8,1,0,2,9,0,0,1107,0
"NA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544","org.apache.tools.ant.taskdefs.optional.extension.DeweyDecimal",544,2,2,0,5,4,1,2,10,0
"NA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","org.apache.tools.ant.taskdefs.JikesOutputParser",88,12,1,0,3,22,44,5,156,0
"NA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","org.apache.tools.ant.taskdefs.SignJar",510,20,4,0,9,56,150,15,455,2
"26","org.apache.tools.ant.taskdefs.optional.Rpm",26,16,3,0,15,65,76,13,483,1
"424","org.apache.tools.ant.taskdefs.optional.clearcase.CCMkattr",424,22,4,0,8,46,189,16,333,0
"187","org.apache.tools.ant.types.resources.comparators.ResourceComparator",187,5,3,9,18,12,10,4,62,0
"144","org.apache.tools.ant.taskdefs.ManifestTask",144,7,3,0,9,39,1,7,260,1
"508","org.apache.tools.ant.taskdefs.Tar",508,22,4,0,25,172,151,10,1224,4
"534","org.apache.tools.ant.taskdefs.optional.jsp.Jasper41Mangler",534,4,1,0,2,17,6,3,127,0
"106","org.apache.tools.ant.types.Mapper",106,15,3,0,25,44,45,13,311,0
"638","org.apache.tools.ant.taskdefs.Redirector",638,42,1,0,24,109,653,30,1212,2
"532","org.apache.tools.ant.taskdefs.PathConvert",532,21,3,0,12,61,144,15,507,0
"NA5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","org.apache.tools.ant.input.DefaultInputHandler",398,4,1,1,8,26,6,2,152,0
"354","org.apache.tools.tar.TarBuffer",354,21,1,0,2,36,38,17,620,1
"285","org.apache.tools.ant.taskdefs.condition.Matches",285,8,2,0,6,15,6,8,122,0
"478","org.apache.tools.ant.filters.LineContainsRegExp",478,10,5,0,7,32,0,7,221,0
"269","org.apache.tools.ant.taskdefs.Tstamp",269,6,3,0,5,27,3,4,135,0
"110","org.apache.tools.ant.util.SourceFileScanner",110,7,1,0,15,23,5,6,148,0
"NA6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548","org.apache.tools.ant.taskdefs.optional.ccm.CCMReconfigure",548,9,4,0,6,25,18,8,120,0
"200","org.apache.tools.ant.types.resources.BaseResourceCollectionWrapper",200,13,3,4,12,42,54,8,233,1
"NA7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666","org.apache.tools.ant.taskdefs.LoadResource",666,8,3,1,10,45,2,8,336,1
"591","org.apache.tools.ant.util.regexp.Regexp",591,1,1,0,13,1,0,1,3,0
"684","org.apache.tools.ant.types.selectors.NoneSelector",684,3,5,1,9,14,3,3,52,0
"262","org.apache.tools.ant.launch.Locator",262,11,1,0,8,75,53,9,968,4
"294","org.apache.tools.ant.taskdefs.optional.Javah",294,31,3,0,16,79,365,29,466,0
"711","org.apache.tools.ant.taskdefs.BZip2",711,3,4,0,6,22,3,1,82,0
"585","org.apache.tools.ant.taskdefs.optional.javacc.JavaCC",585,34,3,0,12,86,0,27,822,0
"657","org.apache.tools.ant.taskdefs.MatchingTask",657,42,3,21,47,98,0,40,327,0
"561","org.apache.tools.ant.taskdefs.optional.jsp.JspC",561,42,4,0,15,92,753,36,707,0
"NA9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","org.apache.tools.ant.types.mappers.FilterMapper",524,4,4,0,7,19,6,4,74,0
"519","org.apache.tools.ant.taskdefs.optional.perforce.P4Integrate",519,26,4,0,4,34,203,26,399,0
"NA10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","org.apache.tools.ant.types.optional.ScriptMapper",442,7,3,0,3,16,13,6,55,0
"NA11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","org.apache.tools.ant.taskdefs.optional.net.MimeMail",261,2,4,0,2,9,1,2,22,0
"112","org.apache.tools.ant.util.optional.WeakishReference12",112,1,3,0,1,2,0,1,5,0
"740","org.apache.tools.ant.taskdefs.optional.perforce.P4Reopen",740,3,4,0,4,11,0,3,53,0
"571","org.apache.tools.ant.taskdefs.optional.perforce.P4Add",571,6,4,0,7,29,0,5,195,0
"100","org.apache.tools.ant.types.selectors.OrSelector",100,3,5,0,7,14,3,3,52,0
"NA12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","org.apache.tools.ant.taskdefs.optional.depend.constantpool.DoubleCPInfo",340,3,3,0,2,11,3,3,25,0
"348","org.apache.tools.ant.filters.StripLineComments",348,8,5,0,5,26,0,5,172,0
"729","org.apache.tools.ant.RuntimeConfigurable",729,25,1,0,20,71,182,22,515,1
"304","org.apache.tools.ant.types.Comparison",304,5,2,2,9,10,6,4,185,0
"NA13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","org.apache.tools.ant.types.Permissions",163,12,1,0,8,34,26,6,341,0
"146","org.apache.tools.ant.util.Retryable",146,1,1,0,1,1,0,1,2,0
"230","org.apache.tools.ant.PropertyHelper",230,23,1,0,4,56,107,18,689,3
"689","org.apache.tools.ant.types.resources.BZip2Resource",689,6,5,0,4,13,9,2,70,0
"79","org.apache.tools.ant.util.TimeoutObserver",79,1,1,0,3,1,0,1,1,0
"446","org.apache.tools.ant.taskdefs.optional.vss.MSVSSCHECKIN",446,7,4,0,6,28,21,6,92,0
"153","org.apache.tools.ant.launch.Launcher",153,9,1,0,5,57,34,2,566,1
"NA14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611","org.apache.tools.ant.types.FilterSet",611,26,3,0,12,85,217,19,811,2
"680","org.apache.tools.ant.util.regexp.JakartaRegexpMatcher",680,10,1,1,6,20,39,7,129,0
"NA15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","org.apache.tools.ant.Task",107,29,2,102,184,66,346,19,375,0
"NA17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","org.apache.tools.ant.taskdefs.condition.HasFreeSpace",164,7,1,0,5,16,0,6,86,0
"484","org.apache.tools.ant.util.depend.DependencyAnalyzer",484,10,1,0,5,10,45,10,10,0
"254","org.apache.tools.ant.taskdefs.optional.extension.ExtensionResolver",254,1,1,0,7,1,0,1,1,0
"276","org.apache.tools.ant.taskdefs.compilers.Sj",276,3,2,0,5,12,3,2,44,0
"48","org.apache.tools.ant.DirectoryScanner",48,63,1,2,61,144,1603,31,2303,3
"458","org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter",458,15,1,4,12,53,71,5,390,3
"NA18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","org.apache.tools.ant.types.Parameter",46,7,1,0,24,8,3,7,43,0
"152","org.apache.tools.ant.taskdefs.cvslib.RedirectingStreamHandler",152,3,2,0,5,12,3,1,40,0
"263","org.apache.tools.ant.taskdefs.optional.depend.constantpool.IntegerCPInfo",263,3,3,0,2,11,3,3,25,0
"171","org.apache.tools.ant.taskdefs.optional.vss.MSVSSLABEL",171,6,4,0,5,25,15,5,94,0
"NA20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","org.apache.tools.ant.taskdefs.ImportTask",465,5,3,0,7,31,4,4,178,0
"NA21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","org.apache.tools.ant.types.optional.depend.ClassfileSet",452,7,5,0,6,31,0,6,163,0
"54","org.apache.tools.ant.DemuxOutputStream",54,10,2,0,3,30,27,5,245,0
"629","org.apache.tools.ant.types.XMLCatalog",629,28,3,0,17,105,344,13,874,0
"47","org.apache.tools.ant.util.regexp.Jdk14RegexpMatcher",47,9,1,1,4,19,30,7,130,0
"365","org.apache.tools.ant.util.WeakishReference",365,3,1,1,1,6,1,2,22,0
"390","org.apache.tools.ant.taskdefs.optional.perforce.P4Base",390,15,3,15,27,41,57,13,312,0
"NA23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","org.apache.tools.ant.util.CompositeMapper",149,2,2,0,3,13,1,2,48,0
